[   0.0s] loading gold from runs/encoder_gold_v2.jsonl
[   0.2s] 985 gold records
[   0.2s] holdout mode: 98 held-out sentences, pool=887, train subset=788 (subset_seed=0)
[   0.2s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  15.4s] USVS loaded: 117679 senses, d_axes=607
[  15.4s] pos_vocab=15 role_vocab=37
[  15.4s] policy params: 343,108 (~1.372 MB fp32)
[  15.4s] building features + derivations for 788 train records
[  16.9s] 2530 teacher-forced derivations
[  20.6s] epoch 0 step 50 avg_loss=83.052
[  23.4s] epoch 0 step 100 avg_loss=84.509
[  26.0s] epoch 0 step 150 avg_loss=79.862
[  28.5s] epoch 0 step 200 avg_loss=76.874
[  30.9s] epoch 0 step 250 avg_loss=72.291
[  33.7s] epoch 0 step 300 avg_loss=71.394
[  36.7s] epoch 0 step 350 avg_loss=70.436
[  39.8s] epoch 0 step 400 avg_loss=69.567
[  42.4s] epoch 0 step 450 avg_loss=67.452
[  45.1s] epoch 0 step 500 avg_loss=65.465
[  47.7s] epoch 0 step 550 avg_loss=63.486
[  50.5s] epoch 0 step 600 avg_loss=62.520
[  53.1s] epoch 0 step 650 avg_loss=61.070
[  56.3s] epoch 0 step 700 avg_loss=60.300
[  59.2s] epoch 0 step 750 avg_loss=59.526
[  62.0s] epoch 0 step 800 avg_loss=58.250
[  65.0s] epoch 0 step 850 avg_loss=57.304
[  68.5s] epoch 0 step 900 avg_loss=56.654
[  71.1s] epoch 0 step 950 avg_loss=55.750
[  73.6s] epoch 0 step 1000 avg_loss=54.824
[  76.4s] epoch 0 step 1050 avg_loss=54.142
[  79.6s] epoch 0 step 1100 avg_loss=53.671
[  82.7s] epoch 0 step 1150 avg_loss=52.968
[  86.0s] epoch 0 step 1200 avg_loss=52.465
[  89.0s] epoch 0 step 1250 avg_loss=52.047
[  92.0s] epoch 0 step 1300 avg_loss=51.557
[  94.5s] epoch 0 step 1350 avg_loss=50.823
[  97.2s] epoch 0 step 1400 avg_loss=50.164
[ 100.1s] epoch 0 step 1450 avg_loss=49.629
[ 103.1s] epoch 0 step 1500 avg_loss=49.173
[ 105.9s] epoch 0 step 1550 avg_loss=48.610
[ 108.9s] epoch 0 step 1600 avg_loss=48.106
[ 112.0s] epoch 0 step 1650 avg_loss=47.723
[ 115.1s] epoch 0 step 1700 avg_loss=47.214
[ 117.7s] epoch 0 step 1750 avg_loss=46.781
[ 120.7s] epoch 0 step 1800 avg_loss=46.384
[ 123.9s] epoch 0 step 1850 avg_loss=45.920
[ 127.0s] epoch 0 step 1900 avg_loss=45.466
[ 129.6s] epoch 0 step 1950 avg_loss=45.060
[ 132.8s] epoch 0 step 2000 avg_loss=44.696
[ 135.6s] epoch 0 step 2050 avg_loss=44.394
[ 138.6s] epoch 0 step 2100 avg_loss=44.049
[ 141.8s] epoch 0 step 2150 avg_loss=43.797
[ 145.0s] epoch 0 step 2200 avg_loss=43.525
[ 147.7s] epoch 0 step 2250 avg_loss=43.120
[ 150.6s] epoch 0 step 2300 avg_loss=42.861
[ 153.5s] epoch 0 step 2350 avg_loss=42.491
[ 156.4s] epoch 0 step 2400 avg_loss=42.299
[ 159.0s] epoch 0 step 2450 avg_loss=41.951
[ 161.6s] epoch 0 step 2500 avg_loss=41.651
[ 163.2s] === epoch 0 done: avg_loss=41.482 (n=2530 derivations) ===
[ 164.1s] epoch 1 step 2550 avg_loss=21.766
[ 166.5s] epoch 1 step 2600 avg_loss=22.305
[ 169.5s] epoch 1 step 2650 avg_loss=25.027
[ 172.6s] epoch 1 step 2700 avg_loss=25.810
[ 175.5s] epoch 1 step 2750 avg_loss=26.573
[ 178.1s] epoch 1 step 2800 avg_loss=26.242
[ 180.8s] epoch 1 step 2850 avg_loss=26.254
[ 183.3s] epoch 1 step 2900 avg_loss=25.700
[ 186.2s] epoch 1 step 2950 avg_loss=25.588
[ 188.9s] epoch 1 step 3000 avg_loss=25.521
[ 191.9s] epoch 1 step 3050 avg_loss=26.246
[ 194.8s] epoch 1 step 3100 avg_loss=26.352
[ 197.0s] epoch 1 step 3150 avg_loss=25.866
[ 199.4s] epoch 1 step 3200 avg_loss=25.463
[ 201.9s] epoch 1 step 3250 avg_loss=25.382
[ 204.5s] epoch 1 step 3300 avg_loss=25.610
[ 207.0s] epoch 1 step 3350 avg_loss=25.629
[ 209.5s] epoch 1 step 3400 avg_loss=25.626
[ 212.5s] epoch 1 step 3450 avg_loss=25.693
[ 215.2s] epoch 1 step 3500 avg_loss=25.734
[ 217.9s] epoch 1 step 3550 avg_loss=25.600
[ 220.7s] epoch 1 step 3600 avg_loss=25.684
[ 223.2s] epoch 1 step 3650 avg_loss=25.507
[ 225.6s] epoch 1 step 3700 avg_loss=25.293
[ 228.5s] epoch 1 step 3750 avg_loss=25.491
[ 230.9s] epoch 1 step 3800 avg_loss=25.369
[ 233.8s] epoch 1 step 3850 avg_loss=25.423
[ 236.2s] epoch 1 step 3900 avg_loss=25.417
[ 238.7s] epoch 1 step 3950 avg_loss=25.232
[ 241.6s] epoch 1 step 4000 avg_loss=25.272
[ 244.3s] epoch 1 step 4050 avg_loss=25.257
[ 247.0s] epoch 1 step 4100 avg_loss=25.111
[ 249.6s] epoch 1 step 4150 avg_loss=24.914
[ 252.1s] epoch 1 step 4200 avg_loss=24.801
[ 254.7s] epoch 1 step 4250 avg_loss=24.695
[ 256.8s] epoch 1 step 4300 avg_loss=24.518
[ 259.8s] epoch 1 step 4350 avg_loss=24.649
[ 262.5s] epoch 1 step 4400 avg_loss=24.600
