step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	23.397820	0.297129	0.265012	0.338103	294.84
500	15.240051	0.316584	0.270646	0.381306	594.12
750	9.108317	0.332133	0.284104	0.399705	888.02
1000	5.319984	0.320317	0.267896	0.398243	1179.19
1250	3.109686	0.335632	0.286356	0.405393	1472.14
1500	1.946129	0.333985	0.286974	0.399417	1765.74
1750	1.087051	0.327389	0.277507	0.399134	2061.97
2000	0.754410	0.324581	0.274715	0.396565	2357.63
2250	0.456931	0.308168	0.262996	0.372075	2686.18
2500	0.259665	0.316169	0.266868	0.387814	2993.59
2750	0.124816	0.313161	0.261673	0.389875	3295.97
3000	0.116422	0.316259	0.266871	0.388079	3589.87
3250	0.524240	0.310931	0.261125	0.384214	3886.93
3500	0.116328	0.313584	0.264025	0.386047	4182.89
3750	0.035727	0.330232	0.281208	0.399957	4473.11
4000	0.026665	0.327522	0.275684	0.403369	4772.05
4250	0.021155	0.320213	0.271564	0.390097	5081.55
4500	0.017279	0.319479	0.271464	0.388129	5368.13
4750	0.014316	0.321066	0.274737	0.386189	5664.15
5000	0.012014	0.323743	0.277749	0.387993	5952.51
5250	0.010154	0.324662	0.277783	0.390575	6248.22
5500	0.008631	0.323744	0.275686	0.392094	6551.28
5750	0.007371	0.323858	0.275810	0.392178	6836.44
6000	0.006318	0.323032	0.274638	0.392128	7132.04
6250	0.005429	0.324619	0.276584	0.392843	7431.30
6500	0.004679	0.325276	0.278226	0.391479	7723.01
6750	0.004038	0.317416	0.268569	0.387982	8032.22
7000	0.003491	0.315246	0.270572	0.377590	8354.76
7250	0.003025	0.314521	0.269038	0.378511	8678.43
7500	0.002625	0.309816	0.264503	0.373865	8974.67
7750	0.002283	0.307894	0.263116	0.371037	9258.08
8000	2.037399	0.317805	0.257554	0.414853	9540.90
