[   0.0s] loading gold from runs/encoder_gold_v3.jsonl
[   0.1s] 959 gold records
[   0.1s] holdout mode: 98 held-out sentences, pool=865, train subset=788 (subset_seed=0)
[   0.1s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  15.2s] USVS loaded: 117679 senses, d_axes=607
[  15.2s] pos_vocab=15 role_vocab=38
[  15.2s] policy params: 343,237 (~1.373 MB fp32)
[  15.2s] building features + derivations for 788 train records
[  16.0s] 788 teacher-forced derivations
[  20.3s] epoch 0 step 50 avg_loss=96.165
[  22.7s] epoch 0 step 100 avg_loss=94.192
[  24.9s] epoch 0 step 150 avg_loss=87.376
[  27.8s] epoch 0 step 200 avg_loss=86.731
[  30.5s] epoch 0 step 250 avg_loss=83.903
[  33.5s] epoch 0 step 300 avg_loss=82.810
[  36.0s] epoch 0 step 350 avg_loss=80.426
[  38.5s] epoch 0 step 400 avg_loss=77.704
[  41.4s] epoch 0 step 450 avg_loss=75.905
[  44.1s] epoch 0 step 500 avg_loss=74.117
[  47.2s] epoch 0 step 550 avg_loss=72.920
[  49.9s] epoch 0 step 600 avg_loss=71.384
[  52.8s] epoch 0 step 650 avg_loss=70.408
[  55.8s] epoch 0 step 700 avg_loss=69.481
[  58.5s] epoch 0 step 750 avg_loss=68.128
[  60.7s] === epoch 0 done: avg_loss=67.552 (n=788 derivations) ===
[  61.7s] epoch 1 step 800 avg_loss=66.439
[  64.5s] epoch 1 step 850 avg_loss=54.618
[  67.2s] epoch 1 step 900 avg_loss=50.735
[  70.0s] epoch 1 step 950 avg_loss=49.383
[  72.6s] epoch 1 step 1000 avg_loss=48.709
[  75.2s] epoch 1 step 1050 avg_loss=47.606
[  77.9s] epoch 1 step 1100 avg_loss=46.926
[  81.3s] epoch 1 step 1150 avg_loss=48.349
[  84.4s] epoch 1 step 1200 avg_loss=47.916
[  87.2s] epoch 1 step 1250 avg_loss=47.656
[  90.2s] epoch 1 step 1300 avg_loss=47.462
[  92.9s] epoch 1 step 1350 avg_loss=47.251
[  95.5s] epoch 1 step 1400 avg_loss=46.661
[  98.1s] epoch 1 step 1450 avg_loss=45.990
[ 100.9s] epoch 1 step 1500 avg_loss=46.141
[ 103.7s] epoch 1 step 1550 avg_loss=46.433
[ 105.2s] === epoch 1 done: avg_loss=46.393 (n=788 derivations) ===
[ 106.4s] epoch 2 step 1600 avg_loss=36.956
[ 109.2s] epoch 2 step 1650 avg_loss=43.070
[ 112.1s] epoch 2 step 1700 avg_loss=41.520
[ 114.4s] epoch 2 step 1750 avg_loss=39.812
[ 117.1s] epoch 2 step 1800 avg_loss=39.707
[ 119.5s] epoch 2 step 1850 avg_loss=40.292
[ 122.2s] epoch 2 step 1900 avg_loss=40.298
[ 124.6s] epoch 2 step 1950 avg_loss=39.964
[ 127.0s] epoch 2 step 2000 avg_loss=39.383
[ 129.5s] epoch 2 step 2050 avg_loss=39.313
[ 132.1s] epoch 2 step 2100 avg_loss=39.694
[ 134.5s] epoch 2 step 2150 avg_loss=39.447
