step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	25.099246	0.401576	0.411623	0.392008	331.95
500	19.949631	0.447580	0.456054	0.439415	663.52
750	17.947834	0.445324	0.448851	0.441853	951.28
1000	15.523057	0.447497	0.437026	0.458482	1256.58
1250	13.265033	0.439389	0.433603	0.445331	1561.31
1500	12.187056	0.475793	0.486085	0.465928	1863.74
1750	10.168471	0.489473	0.490015	0.488932	2179.01
2000	9.461711	0.468862	0.461589	0.476367	2491.32
2250	8.103717	0.465758	0.480164	0.452191	2783.17
2500	6.732486	0.456732	0.471976	0.442441	3074.20
2750	5.404397	0.473551	0.499037	0.450541	3356.80
3000	5.338159	0.476014	0.492374	0.460707	3637.91
3250	4.668693	0.478818	0.482820	0.474881	3939.94
3500	3.775332	0.472108	0.489954	0.455517	4240.28
3750	3.713107	0.479497	0.494678	0.465219	4526.86
4000	2.916651	0.463391	0.483040	0.445279	4808.79
4250	2.628073	0.474572	0.481394	0.467940	5088.67
4500	2.608706	0.468177	0.470523	0.465853	5363.07
4750	2.436578	0.459256	0.472551	0.446688	5636.69
5000	1.998761	0.452216	0.458634	0.445974	5913.68
5250	1.888091	0.439985	0.456008	0.425050	6190.91
5500	1.745965	0.442835	0.449519	0.436346	6474.58
5750	1.531006	0.465184	0.472136	0.458433	6759.60
6000	1.527898	0.455121	0.467358	0.443508	7044.14
6250	1.418745	0.428795	0.425825	0.431806	7325.76
6500	1.480191	0.441154	0.451531	0.431242	7602.56
6750	1.238873	0.444589	0.448614	0.440635	7876.21
7000	1.061767	0.472901	0.478419	0.467510	8157.60
7250	1.087900	0.455620	0.459910	0.451410	8439.67
7500	0.951459	0.457081	0.462831	0.451473	8722.95
7750	0.898908	0.458081	0.463907	0.452399	9004.31
8000	0.860405	0.444214	0.448738	0.439781	9283.73
