[   0.0s] loading gold from runs/encoder_gold_v4b_16k.jsonl
[   4.0s] 10225 gold records
[   4.0s] holdout mode: 98 held-out sentences, pool=10029, train subset=3000 (subset_seed=0)
[   4.0s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  21.3s] USVS loaded: 117679 senses, d_axes=607
[  21.3s] pos_vocab=15 role_vocab=44
[  21.3s] policy params: 344,011 (~1.376 MB fp32)
[  21.3s] building features + derivations for 3000 train records
[  25.4s] 3000 teacher-forced derivations
[  26.8s] dev-holdout eval targets from runs/encoder_gold_v4b.jsonl: matched=98 missing=0
[  30.0s] epoch 0 step 50 avg_loss=105.380
[  31.9s] epoch 0 step 100 avg_loss=101.896
[  33.6s] epoch 0 step 150 avg_loss=99.072
[  35.6s] epoch 0 step 200 avg_loss=96.307
[  37.2s] epoch 0 step 250 avg_loss=93.138
[  38.9s] epoch 0 step 300 avg_loss=89.797
[  40.5s] epoch 0 step 350 avg_loss=85.757
[  42.3s] epoch 0 step 400 avg_loss=82.843
[  44.1s] epoch 0 step 450 avg_loss=80.993
[  46.3s] epoch 0 step 500 avg_loss=80.064
[  48.4s] epoch 0 step 550 avg_loss=78.933
[  50.2s] epoch 0 step 600 avg_loss=77.239
[  52.2s] epoch 0 step 650 avg_loss=75.685
[  54.3s] epoch 0 step 700 avg_loss=74.595
[  56.7s] epoch 0 step 750 avg_loss=73.909
[  58.8s] epoch 0 step 800 avg_loss=72.567
[  60.9s] epoch 0 step 850 avg_loss=71.468
[  62.9s] epoch 0 step 900 avg_loss=70.137
[  64.9s] epoch 0 step 950 avg_loss=68.855
[  67.1s] epoch 0 step 1000 avg_loss=67.835
[  69.2s] epoch 0 step 1050 avg_loss=66.582
[  71.5s] epoch 0 step 1100 avg_loss=65.861
[  73.3s] epoch 0 step 1150 avg_loss=64.949
[  75.0s] epoch 0 step 1200 avg_loss=63.763
[  76.7s] epoch 0 step 1250 avg_loss=62.590
[  78.9s] epoch 0 step 1300 avg_loss=62.036
[  81.2s] epoch 0 step 1350 avg_loss=61.424
[  83.3s] epoch 0 step 1400 avg_loss=61.033
[  85.2s] epoch 0 step 1450 avg_loss=60.252
[  86.9s] epoch 0 step 1500 avg_loss=59.467
[  89.0s] epoch 0 step 1550 avg_loss=58.869
[  90.8s] epoch 0 step 1600 avg_loss=58.087
[  93.0s] epoch 0 step 1650 avg_loss=57.493
[  94.9s] epoch 0 step 1700 avg_loss=56.970
[  96.7s] epoch 0 step 1750 avg_loss=56.373
[  98.9s] epoch 0 step 1800 avg_loss=55.923
[ 100.9s] epoch 0 step 1850 avg_loss=55.550
[ 103.0s] epoch 0 step 1900 avg_loss=55.293
[ 104.9s] epoch 0 step 1950 avg_loss=54.731
[ 106.9s] epoch 0 step 2000 avg_loss=54.264
[ 109.4s] epoch 0 step 2050 avg_loss=54.027
[ 111.6s] epoch 0 step 2100 avg_loss=53.687
[ 113.7s] epoch 0 step 2150 avg_loss=53.373
[ 116.0s] epoch 0 step 2200 avg_loss=53.094
[ 118.0s] epoch 0 step 2250 avg_loss=52.728
[ 119.8s] epoch 0 step 2300 avg_loss=52.245
[ 121.9s] epoch 0 step 2350 avg_loss=51.999
[ 123.7s] epoch 0 step 2400 avg_loss=51.521
