[   0.0s] loading gold from runs/encoder_gold_v4b_margin.jsonl
[   0.2s] 986 gold records
[   0.2s] holdout mode: 98 held-out sentences, pool=790, train subset=788 (subset_seed=0)
[   0.2s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  14.0s] USVS loaded: 117679 senses, d_axes=607
[  14.0s] pos_vocab=15 role_vocab=40
[  14.0s] policy params: 343,495 (~1.374 MB fp32)
[  14.0s] building features + derivations for 788 train records
[  14.8s] 1106 teacher-forced derivations
[  15.5s] dev-holdout eval targets from runs/encoder_gold_v2.jsonl: matched=98 missing=0
[  18.6s] epoch 0 step 50 avg_loss=106.547
[  20.8s] epoch 0 step 100 avg_loss=108.370
[  23.0s] epoch 0 step 150 avg_loss=105.546
[  24.8s] epoch 0 step 200 avg_loss=101.338
[  27.1s] epoch 0 step 250 avg_loss=99.039
[  29.0s] epoch 0 step 300 avg_loss=94.763
[  31.3s] epoch 0 step 350 avg_loss=91.282
[  33.3s] epoch 0 step 400 avg_loss=88.611
[  35.6s] epoch 0 step 450 avg_loss=87.466
[  37.7s] epoch 0 step 500 avg_loss=85.398
[  40.5s] epoch 0 step 550 avg_loss=83.438
[  43.0s] epoch 0 step 600 avg_loss=81.479
[  45.3s] epoch 0 step 650 avg_loss=79.467
[  47.9s] epoch 0 step 700 avg_loss=78.349
[  50.1s] epoch 0 step 750 avg_loss=76.739
[  52.4s] epoch 0 step 800 avg_loss=75.722
[  54.8s] epoch 0 step 850 avg_loss=74.729
[  57.1s] epoch 0 step 900 avg_loss=73.338
[  59.6s] epoch 0 step 950 avg_loss=72.725
[  62.3s] epoch 0 step 1000 avg_loss=71.961
[  64.5s] epoch 0 step 1050 avg_loss=70.949
[  66.8s] epoch 0 step 1100 avg_loss=70.260
[  67.0s] === epoch 0 done: avg_loss=70.139 (n=1106 derivations) ===
[  69.3s] epoch 1 step 1150 avg_loss=48.894
[  71.8s] epoch 1 step 1200 avg_loss=49.984
[  74.4s] epoch 1 step 1250 avg_loss=51.047
[  76.9s] epoch 1 step 1300 avg_loss=50.958
[  79.5s] epoch 1 step 1350 avg_loss=50.710
[  81.9s] epoch 1 step 1400 avg_loss=49.655
[  84.0s] epoch 1 step 1450 avg_loss=49.104
[  86.2s] epoch 1 step 1500 avg_loss=49.024
[  88.4s] epoch 1 step 1550 avg_loss=48.180
[  90.8s] epoch 1 step 1600 avg_loss=48.227
[  93.0s] epoch 1 step 1650 avg_loss=47.558
[  95.1s] epoch 1 step 1700 avg_loss=47.415
