[   0.0s] loading gold from runs/encoder_gold_v4b_16k.jsonl,runs/hard_gold_train.jsonl
[   2.2s] 11308 gold records
[   4.2s] holdout mode (per-file subsets): 98 held-out sentences, train subset=11112 (subset_seed=0) -- runs/encoder_gold_v4b_16k.jsonl: pool=10029 subset=10029; runs/hard_gold_train.jsonl: pool=1083 subset=1083
[   4.2s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  18.7s] USVS loaded: 117679 senses, d_axes=607
[  18.7s] pos_vocab=15 role_vocab=50
[  18.8s] policy params: 344,785 (~1.379 MB fp32)
[  18.8s] building features + derivations for 11112 train records
[  29.0s] 11112 teacher-forced derivations
[  29.1s] dev-holdout eval targets from runs/encoder_gold_v4b.jsonl: matched=98 missing=0
[ 192.3s] epoch 0 step 5000 avg_loss=38.827
[ 194.0s] epoch 0 step 5050 avg_loss=38.775
[ 195.8s] epoch 0 step 5100 avg_loss=38.634
[ 197.3s] epoch 0 step 5150 avg_loss=38.516
[ 198.9s] epoch 0 step 5200 avg_loss=38.371
[ 200.5s] epoch 0 step 5250 avg_loss=38.242
[ 201.8s] epoch 0 step 5300 avg_loss=38.095
[ 203.2s] epoch 0 step 5350 avg_loss=37.959
[ 205.0s] epoch 0 step 5400 avg_loss=37.849
[ 206.5s] epoch 0 step 5450 avg_loss=37.709
[ 208.2s] epoch 0 step 5500 avg_loss=37.622
[ 209.7s] epoch 0 step 5550 avg_loss=37.491
[ 211.3s] epoch 0 step 5600 avg_loss=37.376
[ 213.1s] epoch 0 step 5650 avg_loss=37.271
[ 215.0s] epoch 0 step 5700 avg_loss=37.189
[ 216.5s] epoch 0 step 5750 avg_loss=37.043
[ 218.2s] epoch 0 step 5800 avg_loss=36.965
[ 219.7s] epoch 0 step 5850 avg_loss=36.851
[ 221.5s] epoch 0 step 5900 avg_loss=36.762
[ 222.9s] epoch 0 step 5950 avg_loss=36.609
[ 224.8s] epoch 0 step 6000 avg_loss=36.484
[ 226.4s] epoch 0 step 6050 avg_loss=36.368
[ 228.0s] epoch 0 step 6100 avg_loss=36.237
[ 229.5s] epoch 0 step 6150 avg_loss=36.119
[ 231.0s] epoch 0 step 6200 avg_loss=36.027
[ 232.5s] epoch 0 step 6250 avg_loss=35.922
[ 234.2s] epoch 0 step 6300 avg_loss=35.885
[ 235.9s] epoch 0 step 6350 avg_loss=35.784
[ 237.5s] epoch 0 step 6400 avg_loss=35.684
[ 239.1s] epoch 0 step 6450 avg_loss=35.600
[ 240.5s] epoch 0 step 6500 avg_loss=35.485
[ 242.1s] epoch 0 step 6550 avg_loss=35.385
[ 243.5s] epoch 0 step 6600 avg_loss=35.247
[ 245.2s] epoch 0 step 6650 avg_loss=35.166
[ 246.9s] epoch 0 step 6700 avg_loss=35.101
[ 248.3s] epoch 0 step 6750 avg_loss=35.035
[ 249.9s] epoch 0 step 6800 avg_loss=34.947
[ 251.4s] epoch 0 step 6850 avg_loss=34.839
[ 253.1s] epoch 0 step 6900 avg_loss=34.792
[ 254.6s] epoch 0 step 6950 avg_loss=34.721
[ 256.1s] epoch 0 step 7000 avg_loss=34.641
[ 257.9s] epoch 0 step 7050 avg_loss=34.552
[ 259.7s] epoch 0 step 7100 avg_loss=34.504
[ 261.5s] epoch 0 step 7150 avg_loss=34.464
[ 263.2s] epoch 0 step 7200 avg_loss=34.384
[ 264.8s] epoch 0 step 7250 avg_loss=34.284
[ 266.3s] epoch 0 step 7300 avg_loss=34.234
[ 267.9s] epoch 0 step 7350 avg_loss=34.167
[ 269.3s] epoch 0 step 7400 avg_loss=34.044
[ 270.9s] epoch 0 step 7450 avg_loss=33.987
[ 272.6s] epoch 0 step 7500 avg_loss=33.926
[ 274.3s] epoch 0 step 7550 avg_loss=33.868
[ 275.9s] epoch 0 step 7600 avg_loss=33.789
[ 277.3s] epoch 0 step 7650 avg_loss=33.699
[ 279.2s] epoch 0 step 7700 avg_loss=33.643
[ 280.7s] epoch 0 step 7750 avg_loss=33.589
[ 282.4s] epoch 0 step 7800 avg_loss=33.549
[ 283.9s] epoch 0 step 7850 avg_loss=33.460
[ 285.5s] epoch 0 step 7900 avg_loss=33.389
[ 287.0s] epoch 0 step 7950 avg_loss=33.326
[ 288.2s] epoch 0 step 8000 avg_loss=33.235
[ 289.7s] epoch 0 step 8050 avg_loss=33.169
[ 291.5s] epoch 0 step 8100 avg_loss=33.118
[ 293.1s] epoch 0 step 8150 avg_loss=33.039
[ 294.7s] epoch 0 step 8200 avg_loss=32.986
[ 296.3s] epoch 0 step 8250 avg_loss=32.922
[ 297.8s] epoch 0 step 8300 avg_loss=32.851
[ 299.5s] epoch 0 step 8350 avg_loss=32.774
[ 301.0s] epoch 0 step 8400 avg_loss=32.724
[ 302.4s] epoch 0 step 8450 avg_loss=32.656
[ 304.1s] epoch 0 step 8500 avg_loss=32.602
[ 305.8s] epoch 0 step 8550 avg_loss=32.575
[ 307.2s] epoch 0 step 8600 avg_loss=32.503
[ 309.0s] epoch 0 step 8650 avg_loss=32.458
[ 310.7s] epoch 0 step 8700 avg_loss=32.409
[ 312.4s] epoch 0 step 8750 avg_loss=32.365
[ 314.2s] epoch 0 step 8800 avg_loss=32.333
[ 315.9s] epoch 0 step 8850 avg_loss=32.297
[ 317.8s] epoch 0 step 8900 avg_loss=32.261
[ 319.3s] epoch 0 step 8950 avg_loss=32.185
[ 321.2s] epoch 0 step 9000 avg_loss=32.149
[ 322.9s] epoch 0 step 9050 avg_loss=32.111
[ 324.6s] epoch 0 step 9100 avg_loss=32.066
[ 326.3s] epoch 0 step 9150 avg_loss=32.017
[ 327.7s] epoch 0 step 9200 avg_loss=31.958
[ 329.3s] epoch 0 step 9250 avg_loss=31.895
[ 330.6s] epoch 0 step 9300 avg_loss=31.817
[ 332.3s] epoch 0 step 9350 avg_loss=31.782
[ 334.0s] epoch 0 step 9400 avg_loss=31.734
[ 335.6s] epoch 0 step 9450 avg_loss=31.671
[ 337.3s] epoch 0 step 9500 avg_loss=31.629
[ 339.0s] epoch 0 step 9550 avg_loss=31.566
[ 340.4s] epoch 0 step 9600 avg_loss=31.495
[ 342.1s] epoch 0 step 9650 avg_loss=31.443
[ 343.6s] epoch 0 step 9700 avg_loss=31.384
[ 345.4s] epoch 0 step 9750 avg_loss=31.345
[ 347.0s] epoch 0 step 9800 avg_loss=31.292
[ 348.7s] epoch 0 step 9850 avg_loss=31.249
[ 350.4s] epoch 0 step 9900 avg_loss=31.208
[ 352.3s] epoch 0 step 9950 avg_loss=31.195
[ 354.0s] epoch 0 step 10000 avg_loss=31.130
[ 355.8s] epoch 0 step 10050 avg_loss=31.096
[ 357.3s] epoch 0 step 10100 avg_loss=31.053
[ 358.9s] epoch 0 step 10150 avg_loss=31.007
[ 360.5s] epoch 0 step 10200 avg_loss=30.955
