step	train_avg_loss	dev_rank1_f1	dev_edge_p	dev_edge_r	wall_s
250	25.574994	0.305693	0.278509	0.338758	184.31
500	16.762433	0.309942	0.263679	0.375893	375.85
750	11.384263	0.313108	0.263093	0.386601	564.33
1000	7.497981	0.322506	0.278403	0.383212	747.35
1250	5.623174	0.315407	0.258073	0.405492	928.97
1500	4.276481	0.324498	0.280903	0.384110	1114.18
1750	3.449343	0.325536	0.277751	0.393178	1298.13
2000	2.568965	0.314947	0.270093	0.377665	1481.88
2250	2.456831	0.312332	0.272696	0.365449	1669.43
2500	1.882763	0.308129	0.260136	0.377837	1847.92
2750	1.803778	0.303893	0.255192	0.375567	2033.70
3000	1.789831	0.314810	0.276575	0.365311	2215.01
3250	1.563658	0.308645	0.268956	0.362075	2401.93
3500	1.513527	0.316575	0.273046	0.376615	2586.91
3750	1.241786	0.301117	0.264022	0.350340	2772.89
4000	1.090433	0.304917	0.265062	0.358878	2958.43
4250	1.134819	0.314861	0.264500	0.388911	3145.82
4500	1.154331	0.312605	0.273172	0.365343	3339.25
4750	1.101605	0.311298	0.271770	0.364280	3528.45
5000	1.225754	0.312892	0.278711	0.356630	3740.04
5250	1.180586	0.308850	0.264758	0.370562	3955.46
5500	0.899998	0.290610	0.249976	0.347017	4170.83
5750	0.972760	0.310052	0.266236	0.371131	4380.85
6000	0.967152	0.311996	0.273565	0.362988	4604.33
6250	1.016110	0.308521	0.266974	0.365383	4813.20
6500	0.996563	0.313330	0.269886	0.373444	5031.96
6750	1.058778	0.303266	0.263136	0.357839	5255.54
7000	1.024084	0.321175	0.278688	0.378948	5479.93
7250	1.137801	0.299029	0.256770	0.357938	5697.51
7500	1.104102	0.298260	0.261169	0.347629	5903.49
7750	0.988925	0.307748	0.267058	0.363068	6105.48
8000	1.090531	0.297889	0.257606	0.353106	6320.50
