[   0.0s] loading gold from runs/encoder_gold_v2.jsonl
[   0.3s] 985 gold records
[   0.3s] holdout mode: 98 held-out sentences, pool=887, train subset=788 (subset_seed=1)
[   0.3s] loading USVS from /home/user/NAOMI/consciousness_transformer/data/usvs
[  17.0s] USVS loaded: 117679 senses, d_axes=607
[  17.0s] pos_vocab=15 role_vocab=37
[  17.0s] policy params: 343,108 (~1.372 MB fp32)
[  17.0s] building features + derivations for 788 train records
[  18.8s] 2525 teacher-forced derivations
[  22.7s] epoch 0 step 50 avg_loss=78.966
[  25.9s] epoch 0 step 100 avg_loss=80.108
[  29.0s] epoch 0 step 150 avg_loss=78.166
[  31.9s] epoch 0 step 200 avg_loss=77.182
[  34.6s] epoch 0 step 250 avg_loss=74.183
[  37.2s] epoch 0 step 300 avg_loss=72.629
[  39.9s] epoch 0 step 350 avg_loss=71.382
[  42.5s] epoch 0 step 400 avg_loss=69.740
[  44.6s] epoch 0 step 450 avg_loss=67.712
[  47.1s] epoch 0 step 500 avg_loss=66.362
[  49.6s] epoch 0 step 550 avg_loss=64.969
[  52.3s] epoch 0 step 600 avg_loss=64.110
[  54.6s] epoch 0 step 650 avg_loss=62.207
[  57.2s] epoch 0 step 700 avg_loss=61.068
[  60.1s] epoch 0 step 750 avg_loss=60.164
[  62.9s] epoch 0 step 800 avg_loss=59.530
[  65.3s] epoch 0 step 850 avg_loss=58.529
[  67.7s] epoch 0 step 900 avg_loss=57.711
[  69.8s] epoch 0 step 950 avg_loss=56.587
[  72.3s] epoch 0 step 1000 avg_loss=55.990
[  74.9s] epoch 0 step 1050 avg_loss=55.281
[  77.8s] epoch 0 step 1100 avg_loss=54.850
[  80.3s] epoch 0 step 1150 avg_loss=54.095
[  82.7s] epoch 0 step 1200 avg_loss=53.337
[  85.6s] epoch 0 step 1250 avg_loss=52.923
[  87.9s] epoch 0 step 1300 avg_loss=52.119
[  91.1s] epoch 0 step 1350 avg_loss=51.696
[  94.3s] epoch 0 step 1400 avg_loss=51.171
[  97.0s] epoch 0 step 1450 avg_loss=50.532
[ 100.2s] epoch 0 step 1500 avg_loss=50.173
[ 103.1s] epoch 0 step 1550 avg_loss=49.761
[ 106.2s] epoch 0 step 1600 avg_loss=49.305
[ 109.0s] epoch 0 step 1650 avg_loss=48.954
[ 111.7s] epoch 0 step 1700 avg_loss=48.517
[ 114.7s] epoch 0 step 1750 avg_loss=48.155
[ 117.5s] epoch 0 step 1800 avg_loss=47.667
[ 120.2s] epoch 0 step 1850 avg_loss=47.243
[ 122.6s] epoch 0 step 1900 avg_loss=46.813
[ 125.3s] epoch 0 step 1950 avg_loss=46.440
[ 128.0s] epoch 0 step 2000 avg_loss=46.030
[ 130.4s] epoch 0 step 2050 avg_loss=45.576
[ 133.2s] epoch 0 step 2100 avg_loss=45.308
[ 136.0s] epoch 0 step 2150 avg_loss=44.989
[ 138.5s] epoch 0 step 2200 avg_loss=44.671
[ 140.9s] epoch 0 step 2250 avg_loss=44.221
[ 143.7s] epoch 0 step 2300 avg_loss=43.999
[ 146.6s] epoch 0 step 2350 avg_loss=43.696
[ 149.5s] epoch 0 step 2400 avg_loss=43.478
[ 152.7s] epoch 0 step 2450 avg_loss=43.252
[ 155.2s] epoch 0 step 2500 avg_loss=42.889
[ 156.6s] === epoch 0 done: avg_loss=42.806 (n=2525 derivations) ===
[ 158.1s] epoch 1 step 2550 avg_loss=33.288
[ 160.7s] epoch 1 step 2600 avg_loss=31.307
[ 163.7s] epoch 1 step 2650 avg_loss=32.434
[ 166.3s] epoch 1 step 2700 avg_loss=29.943
[ 168.6s] epoch 1 step 2750 avg_loss=28.645
[ 171.2s] epoch 1 step 2800 avg_loss=28.344
[ 173.9s] epoch 1 step 2850 avg_loss=28.599
[ 176.3s] epoch 1 step 2900 avg_loss=28.124
[ 179.0s] epoch 1 step 2950 avg_loss=28.543
[ 181.3s] epoch 1 step 3000 avg_loss=28.250
[ 183.8s] epoch 1 step 3050 avg_loss=28.111
[ 186.2s] epoch 1 step 3100 avg_loss=27.897
[ 188.8s] epoch 1 step 3150 avg_loss=28.035
[ 191.2s] epoch 1 step 3200 avg_loss=27.873
[ 193.6s] epoch 1 step 3250 avg_loss=27.586
[ 196.3s] epoch 1 step 3300 avg_loss=27.414
[ 199.1s] epoch 1 step 3350 avg_loss=27.492
[ 202.2s] epoch 1 step 3400 avg_loss=27.422
[ 204.9s] epoch 1 step 3450 avg_loss=27.293
[ 207.2s] epoch 1 step 3500 avg_loss=26.959
[ 209.8s] epoch 1 step 3550 avg_loss=26.861
[ 212.5s] epoch 1 step 3600 avg_loss=26.609
[ 215.1s] epoch 1 step 3650 avg_loss=26.531
[ 217.8s] epoch 1 step 3700 avg_loss=26.437
[ 220.6s] epoch 1 step 3750 avg_loss=26.403
[ 223.1s] epoch 1 step 3800 avg_loss=26.188
[ 225.5s] epoch 1 step 3850 avg_loss=25.950
[ 227.8s] epoch 1 step 3900 avg_loss=25.842
[ 230.3s] epoch 1 step 3950 avg_loss=25.717
[ 233.0s] epoch 1 step 4000 avg_loss=25.660
[ 235.5s] epoch 1 step 4050 avg_loss=25.549
[ 238.3s] epoch 1 step 4100 avg_loss=25.525
[ 241.4s] epoch 1 step 4150 avg_loss=25.593
[ 244.4s] epoch 1 step 4200 avg_loss=25.615
[ 247.3s] epoch 1 step 4250 avg_loss=25.613
[ 249.7s] epoch 1 step 4300 avg_loss=25.536
[ 252.2s] epoch 1 step 4350 avg_loss=25.472
[ 254.8s] epoch 1 step 4400 avg_loss=25.370
[ 257.6s] epoch 1 step 4450 avg_loss=25.323
[ 260.4s] epoch 1 step 4500 avg_loss=25.275
